nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure
         1,-4.429347316E-03, 1.109819984E-01, 1.518275208E-02, 9.301915000E+04
         2,-3.759370294E-03, 1.112800827E-01, 1.626159997E-02, 9.290738833E+04
         3,-4.607800144E-03, 1.113509475E-01, 1.666014527E-02, 9.255596963E+04
         4,-5.271240396E-03, 1.110433264E-01, 1.559368664E-02, 9.266905343E+04
         5,-3.050425126E-03, 1.116183196E-01, 1.748753938E-02, 9.273069930E+04
         6,-3.908320125E-03, 1.116779195E-01, 1.787946572E-02, 9.238949923E+04
         7,-2.292954317E-03, 1.119806588E-01, 1.886964291E-02, 9.247120565E+04
         8,-3.160755913E-03, 1.120499679E-01, 1.924783361E-02, 9.213059534E+04
         9,-1.473350608E-03, 1.123980083E-01, 2.040097526E-02, 9.214172340E+04
        10,-2.346285073E-03, 1.124718488E-01, 2.076277578E-02, 9.179735300E+04
        11,-6.118155053E-04, 1.128670446E-01, 2.209978109E-02, 9.174515656E+04
        12,-1.490631444E-03, 1.129367435E-01, 2.244642689E-02, 9.140732822E+04
        13, 3.238106331E-04, 1.133792098E-01, 2.395527593E-02, 9.132484583E+04
        14,-5.610140827E-04, 1.134605730E-01, 2.428087648E-02, 9.099365488E+04
        15, 1.332988394E-03, 1.139490445E-01, 2.596328688E-02, 9.093315191E+04
        16, 4.428059222E-04, 1.140416705E-01, 2.626609048E-02, 9.059976336E+04
        17, 2.330122254E-03, 1.145762223E-01, 2.815966187E-02, 9.051873370E+04
        18, 1.425662627E-03, 1.146683982E-01, 2.844589102E-02, 9.018841414E+04
        19, 3.345192559E-03, 1.152552024E-01, 3.051963028E-02, 9.010081920E+04
        20, 2.423563370E-03, 1.153481165E-01, 3.078876921E-02, 8.976047437E+04
        21, 4.356499012E-03, 1.159682630E-01, 3.304058223E-02, 8.970301623E+04
        22, 3.415385989E-03, 1.160617684E-01, 3.329218416E-02, 8.936616441E+04
        23, 5.405730274E-03, 1.167276602E-01, 3.568026243E-02, 8.946641040E+04
        24, 4.449480312E-03, 1.168350920E-01, 3.590776073E-02, 8.910254778E+04
        25, 6.391442639E-03, 1.174971242E-01, 3.846067262E-02, 8.938065179E+04
        26, 5.411280261E-03, 1.175956148E-01, 3.867287217E-02, 8.903784000E+04
        27, 7.373955648E-03, 1.182813496E-01, 4.132661522E-02, 8.948259610E+04
        28, 6.371694215E-03, 1.183956365E-01, 4.151523175E-02, 8.913372219E+04
        29, 8.310691008E-03, 1.190723008E-01, 4.426004766E-02, 8.980069800E+04
        30, 7.285431919E-03, 1.191774671E-01, 4.443162457E-02, 8.944909072E+04
        31, 9.182650351E-03, 1.198340931E-01, 4.723868661E-02, 9.038208474E+04
        32, 8.126792349E-03, 1.199458885E-01, 4.739120261E-02, 9.004709016E+04
        33, 1.001365737E-02, 1.205912101E-01, 5.021232484E-02, 9.120943230E+04
        34, 8.931357928E-03, 1.207025565E-01, 5.034613943E-02, 9.087622336E+04
        35, 1.072750144E-02, 1.212744049E-01, 5.318097168E-02, 9.211994555E+04
        36, 9.612441352E-03, 1.213851353E-01, 5.329768952E-02, 9.180288743E+04
        37, 1.141792502E-02, 1.219464510E-01, 5.607295389E-02, 9.318728108E+04
        38, 1.027680789E-02, 1.220674636E-01, 5.616863722E-02, 9.287782328E+04
        39, 1.199275266E-02, 1.225476068E-01, 5.889202779E-02, 9.425615036E+04
        40, 1.082092350E-02, 1.226678514E-01, 5.897079535E-02, 9.397241699E+04
        41, 1.244666285E-02, 1.230957597E-01, 6.160708722E-02, 9.518827553E+04
        42, 1.124018331E-02, 1.232165577E-01, 6.166954302E-02, 9.490567851E+04
        43, 1.281754890E-02, 1.235980622E-01, 6.418845591E-02, 9.601395375E+04
        44, 1.157710405E-02, 1.237205566E-01, 6.423457165E-02, 9.574937979E+04
        45, 1.316089042E-02, 1.240721198E-01, 6.660995084E-02, 9.678730206E+04
        46, 1.189296135E-02, 1.241997568E-01, 6.663892741E-02, 9.654434917E+04
        47, 1.337873680E-02, 1.244865634E-01, 6.887877742E-02, 9.737849399E+04
        48, 1.207807192E-02, 1.246138300E-01, 6.889296357E-02, 9.715042349E+04
        49, 1.354646923E-02, 1.248555719E-01, 7.097856295E-02, 9.784115401E+04
        50, 1.221654450E-02, 1.249850302E-01, 7.097786810E-02, 9.760931467E+04
        51, 1.360999740E-02, 1.251649441E-01, 7.291239023E-02, 9.818220999E+04
        52, 1.224746193E-02, 1.252952951E-01, 7.289769396E-02, 9.795239373E+04
        53, 1.364073465E-02, 1.254493680E-01, 7.467375127E-02, 9.840782224E+04
        54, 1.224847784E-02, 1.255803323E-01, 7.464559244E-02, 9.817426140E+04
        55, 1.366598404E-02, 1.257071437E-01, 7.626852985E-02, 9.857929704E+04
        56, 1.224920317E-02, 1.258379028E-01, 7.622779341E-02, 9.835079332E+04
        57, 1.368615663E-02, 1.259392639E-01, 7.770471787E-02, 9.872583649E+04
        58, 1.224950031E-02, 1.260698311E-01, 7.765227036E-02, 9.850037700E+04
        59, 1.364991422E-02, 1.261271958E-01, 7.899390538E-02, 9.881354549E+04
        60, 1.219240220E-02, 1.262594179E-01, 7.893012562E-02, 9.858891776E+04
        61, 1.359317905E-02, 1.262931227E-01, 8.014324557E-02, 9.887087572E+04
